state,total_cases,deaths,discharged,population,hdi
Andaman and Nicobar,7688,129,7553,399001,0.741
Andhra Pradesh,2073576,14448,2056979,91702478,0.649
Arunachal Pradesh,55288,280,54976,1711947,0.661
Assam,617475,6116,608808,35998752,0.613
Bihar,726231,12090,714119,128500364,0.574
Chandigarh,65481,820,64601,1158040,0.776
Chhattisgarh,1006942,13593,993023,32199722,0.611
Dadra and Nagar Haveli and Daman and Diu,10683,4,10679,773997,0.663
Delhi,1441295,25098,1415875,19301096,0.746
Goa,179125,3387,175344,1521992,0.763
Gujarat,827659,10094,817239,70400153,0.672
Haryana,771797,10054,761563,28900667,0.708
Himachal Pradesh,227483,3852,222831,7503010,0.725
Jammu and Kashmir,337646,4479,331436,14999397,0.688
Jharkhand,349317,5141,344061,40100376,0.598
Karnataka,2997643,38224,2952378,69599762,0.683
Kerala,5161471,41439,5075605,34698876,0.782
Lakshadweep,10404,51,10343,66001,0.751
Madhya Pradesh,793232,10528,782562,85002417,0.603
Maharashtra,6638071,141163,6486105,124904071,0.697
Manipur,125328,1981,122985,3436948,0.697
Meghalaya,84574,1475,82853,3772103,0.656
Mizoram,136362,505,132302,1308967,0.704
Nagaland,32136,699,31311,2073074,0.679
Odisha,1050060,8420,1039461,47099270,0.605
Puducherry,129056,1875,126887,1646050,0.74
Punjab,603451,16608,586496,30501026,0.724
Rajasthan,954874,8955,945706,79502477,0.628
Sikkim,32359,405,31741,658019,0.717
Tamil Nadu,2729792,36519,2685203,83697770,0.709
Telengana,676787,3998,669010,38157311,0.669
Tripura,84853,825,83937,4184959,0.658
Uttar Pradesh,1710451,22911,1687424,231502578,0.594
Uttarakhand,344345,7411,336761,11700099,0.683
West Bengal,1618637,19534,1591447,100896618,0.641
